n,RMSE,MAE,R2,model,subset,fold
1219,28.456973070513552,17.989553552032433,0.9158843180349377,xgboost_v2,da,1
450,28.121416486128382,18.645415578380206,0.9172957439301374,xgboost_v2,dad,1
390,23.722096968320937,14.85271946051182,0.9236425427011645,xgboost_v2,bodipy,1
13,25.64576175535046,22.69542752779447,0.7034898651630409,xgboost_v2,cyanine,1
0,,,,xgboost_v2,squaraine,1
319,34.7415822504168,22.939101935352177,0.8807329291548902,xgboost_v2,stilbene,1
1867,38.2801438969245,21.155845490243056,0.8972243940161213,xgboost_v2,non_local,1
3751,30.727362945055308,19.343210645345877,0.9172042921332587,xgboost_v2,full,2
801,42.39031444527144,26.137216013187615,0.7255738797708977,xgboost_v2,lambda500,2
325,51.47409321584302,32.382908696498795,0.3015849214814941,xgboost_v2,lambda600,2
59,27.561221846341528,22.30453956733316,0.7629890594284231,xgboost_v2,azo,2
1201,26.396548937399945,17.290936234451923,0.928472512200487,xgboost_v2,da,2
422,33.41803955989812,21.31873691731617,0.8703767417611825,xgboost_v2,dad,2
349,23.560461560941228,14.55575921572909,0.9183933056549825,xgboost_v2,bodipy,2
10,29.46298690005407,25.553680419921875,0.7173900341928963,xgboost_v2,cyanine,2
0,,,,xgboost_v2,squaraine,2
313,34.291122945800154,22.11561085411966,0.8664564401250023,xgboost_v2,stilbene,2
1836,32.60498612528919,20.034139422572533,0.9226710204285237,xgboost_v2,non_local,2
3751,35.153699559262186,20.774759643618626,0.8929468374143745,xgboost_v2,full,3
757,56.391308156498575,32.159831172417846,0.5580482994747712,xgboost_v2,lambda500,3
308,75.14020702700675,44.060624380832735,-0.2626992753940649,xgboost_v2,lambda600,3
44,32.695610631000626,22.929615367542613,0.7129922783808688,xgboost_v2,azo,3
1239,26.12031611171033,17.126476479982756,0.9241732114147854,xgboost_v2,da,3
463,28.110106142380967,18.547633944214027,0.9002093147252892,xgboost_v2,dad,3
341,29.82458407215889,18.612860556287803,0.9025612422281264,xgboost_v2,bodipy,3
12,21.642020726735637,18.7274653116862,0.7597475989340347,xgboost_v2,cyanine,3
0,,,,xgboost_v2,squaraine,3
318,30.327996036768877,20.335644521114634,0.9005614682668966,xgboost_v2,stilbene,3
1870,39.59825433572008,22.073780494645828,0.8915308815682402,xgboost_v2,non_local,3
3751,34.5750924368396,20.233448421671778,0.8970383142707408,xgboost_v2,full,4
796,52.7190340263136,28.15260888692829,0.5939280650905006,xgboost_v2,lambda500,4
317,70.81813176241656,37.67392101062451,-0.10278796156420045,xgboost_v2,lambda600,4
51,36.350846529873984,26.824714810240504,0.6528010930218351,xgboost_v2,azo,4
1208,27.075518706459153,17.55208449358185,0.9258814492002951,xgboost_v2,da,4
431,26.31890641917797,17.333986910912124,0.919116958094096,xgboost_v2,dad,4
347,23.238196329843877,14.100604564655756,0.9365445263916807,xgboost_v2,bodipy,4
13,41.815637315829214,35.51398174579327,0.11309439298831347,xgboost_v2,cyanine,4
0,,,,xgboost_v2,squaraine,4
301,34.88018697302538,22.70678778924548,0.8740131659141397,xgboost_v2,stilbene,4
1847,39.05598477187646,21.27441891226778,0.8946608586493846,xgboost_v2,non_local,4
3751,30.794680107591322,15.235409238688277,0.9142557439308441,chemprop_v2,full,0
747,42.861299007691706,19.20988808670149,0.7101118331519771,chemprop_v2,lambda500,0
303,58.83579146889931,24.546235516564817,0.18819441110686674,chemprop_v2,lambda600,0
61,31.38937104490463,19.27927436203253,0.7680955858775529,chemprop_v2,azo,0
