smiles,class_label,xrn
OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@H]3[C@H](O)[C@@H]4O[C@]4(CO)[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O,NEG,52197
COc1ccc2c3c1O[C@H]1C[C@@H](OC(C)=O)C=C[C@@]31CCN(C)C2,NEG,52520
Cn1c(=O)c2cc3c(cc2c2ccc4cc5c(cc4c21)OCO5)OCO3,NEG,52897
COC(=O)/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1,POS,52980
COc1ccc2c(c1)OC(=O)[C@H]1[C@@H]2[C@H]2C(=O)Oc3cc(OC)ccc3[C@@H]12,NEG,53171
C=C[C@@H]1C2=CCOC(=O)C2=CO[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NEG,53772
CN1c2c(ccc3cc4c(cc23)OCO4)-c2ccc3c(c2C1O)OCO3,POS,54288
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,POS,54730
OC[C@H]1O[C@@H](Oc2cc(O)cc(/C=C/c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,POS,54837
CN1CCc2cc3c(cc2C(O)Cc2ccc4c(c2C1)OCO4)OCO3,POS,55166
Nc1c(C(=O)NCc2ccccc2)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,NEG,55202
C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)OCC[C@]21O,NEG,55278
COC(=O)/C(=C1/OC(=O)C(c2ccccc2)=C1OC)c1ccccc1OC,POS,55629
O=c1c2c3c(ccc2cc2n1CCc1cc4c(cc1-2)OCO4)OCO3,NEG,55775
COc1cc2c(cc1OC)C(=O)Cc1ccc(OC)c(OC)c1CN(C)CC2,NEG,55837
COc1ccc([C@H]2c3cc(OC)c(OC)cc3C[C@H]3C(=O)OC(=O)[C@H]23)cc1OC,NEG,56310
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2C[C@@H](O)[C@]2(C)[C@@H](c3ccc(=O)oc3)CC[C@]12O,POS,56390
OC[C@H]1O[C@@H](n2cnc3c(SCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O,POS,56816
O=c1c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2ncn1Cc1ccccc1,NEG,56821
O=C1C[C@H]2C3=CCO[C@H]4CC(=O)n5c(c(c6ccccc65)CCN1C3)[C@H]42,NEG,57255
Nc1ncnc2c1ncn2[C@@H]1O[C@](F)(COS(N)(=O)=O)[C@@H](O)[C@H]1O,NEG,57357
COc1ccc2c(c1OC)CN(C)[C@@H]1c3cc4c(cc3C[C@H](O)[C@H]21)OCO4,NEG,57555
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)[C@@H](OC=O)C[C@]12O,NEG,57855
C[C@]12CC[C@H](O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](c3ccc(=O)oc3)[C@@H](O)[C@H]3O[C@]132,POS,58388
COc1cc2ccc(=O)oc2c(OC)c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,POS,58590
C[C@@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)[C@H](O)C[C@]5(C)C4=CC(=O)[C@]3(C)[C@H]1[C@@H]2C,NEG,58615
C[C@]12CC[C@H](OC=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)[C@@H](O)C[C@]12O,NEG,58692
c1ccc(-c2oc3cc4oc(-c5ccccc5)c(-c5ccccc5)c4cc3c2-c2ccccc2)cc1,POS,58797
CN1CC[C@]23C(=O)C[C@H]4C(=CCO[C@H]5CC(=O)N(c6ccccc62)[C@H]3[C@H]54)C1,NEG,59544
Cc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1O)C(=O)c1ccccc1C2=O,POS,59723
O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,NEG,59741
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,NEG,60069
CC(=O)O[C@H]1C[C@]2(O)[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1C1=CC(=O)OC1,NEG,60163
C[C@H]1[C@H](c2cc3c(cc2Br)OCO3)c2c(c(Br)cc3c2OCO3)C[C@@H]1C,POS,60377
CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2CC[C@]2(C)[C@@H](C4=CC(=O)OC4)[C@@H](O)C[C@]32O)C1,NEG,61015
O=C(OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,POS,61468
CC1(C)C(=O)C=C[C@@]2(C)C1=C(O)C(=O)[C@]1(C)[C@@H]2CC[C@@]2(C)[C@H](c3ccoc3)C[C@H]3O[C@]321,NEG,61767
CC1=C2C(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,NEG,61894
CC(=O)O[C@H]1[C@H]2O[C@]23[C@@H]2CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]2CC[C@]3(C)[C@H]1c1ccc(=O)oc1,POS,62326
C[C@]12CC[C@H](OC=O)C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)[C@@H](OC=O)C[C@]12O,NEG,62377
CCO[C@]12C[C@@H](C)CN(N=O)[C@@H]1[C@@H](C)[C@H]1[C@@H](C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]13C)O2,NEG,62540
COc1ccc2c(c1OC)C(N1CCc3cc4c(cc3C1=O)OCO4)OC2=O,POS,62663
COc1cc2c(cc1OC)-c1c(oc3cc4c(c(O)c3c1=O)C=CC(C)(C)O4)CO2,POS,62932
CCOC(=O)[C@@H]1[C@@H](CO)Cc2cc3c(cc2[C@H]1c1cc(OC)c(OC)c(OC)c1)OCO3,POS,63100
COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[C@@]1(O)C(=O)OC[C@]1(O)C2,NEG,63213
COC[C@@H]1Cc2cc3c(cc2[C@@H](c2cc(OC)c(OC)c(OC)c2)[C@@H]1C(=O)O)OCO3,POS,63729
COc1cc2cc3c(cc2c2c1-c1ccc4c(c1C(C#N)N2C)OCO4)OCO3,POS,63771
OC[C@H]1O[C@@H](Oc2ccccc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,NEG,64015
O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,NEG,64198
CC(=O)O[C@H]1CC[C@]2(C=O)[C@H]3CC[C@]4(C)[C@@H](c5ccc(=O)oc5)CC[C@]4(O)[C@@H]3CC[C@]2(O)C1,POS,65090
C=C1CC[C@@H]2[C@](C)(CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CCC[C@@]2(C)[C@@H]1CCC1=CCOC1=O,NEG,65102
