smiles,solvent_smiles,log10_mec
Brc1ccc(-c2nc3ccccc3nc2Cc2ccccc2)cc1,CO,4.5843312243675305
OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2)[C@H](O)[C@@H](O)[C@@H]1O,CO,2.7701152947871015
CC1(C)O[C@@H]2[C@H](O1)[C@@H](CO)O[C@H]2n1ccc(=O)[nH]c1=O,CO,4.017033339298781
O=C1/C(=C/c2ccc(O)c(O)c2)COc2cc(O)ccc21,CO,4.7600000472927295
COc1cc(O)cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c1,CO,3.899984562549391
COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,CO,4.209997296082369
c1ccc(Nc2nnc(Nc3ccccc3)c3ccccc23)cc1,CC#N,4.780000298336571
c1ccc(Nc2nnc(Nc3ccccc3)c3ccccc23)cc1,CO,4.780000298336571
O=S1(=O)NC(c2ccccc2)(c2ccccc2)c2ccccc21,CO,4.429994384151707
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Cl,CO,4.02530586526477
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br,O,3.9822712330395684
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1Br,CO,4.02530586526477
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1I,CO,3.863322860120456
COc1ccc(/C=C/c2cc(=O)c3ccc(OC)cc3o2)cc1,CO,4.239999792886872
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C,CCO,4.229999065949292
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C,CCCCCC,4.408002395550655
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1C,CO,4.383994789441733
COc1ccc(/C=C/C(=O)c2c(O)cc(C)oc2=O)cc1OC,CO,4.300008202553813
OC[C@H]1O[C@@H](Oc2cccc3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O,CO,4.420005284959052
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,CO,4.0680002261451715
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n2nnnc12,CO,3.9030899869919438
O=C1/C(=C/c2ccc(O)c(O)c2)Oc2c1ccc(O)c2O,CO,4.250005028486895
CC[C@@]12CCCN3CC[C@]4(c5cccc(O)c5N[C@@H]4CC1)[C@H]32,CO,3.909983694939844
O=C(O)c1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CO,4.086359830674748
Cc1c(O)cc2c(c1O)C(=O)[C@H](O)[C@@H](c1ccccc1)O2,CO,3.8603380065709936
OCc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CO,4.400002345927956
COc1cc(O)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,CO,4.340007617996673
