smiles,xrn
[H][C@@]12N(C)CCC1=C[C@H](O)[C@@]1([H])OC(=O)C3=CC4=C(OCO4)C=C3[C@@]21[H],51553
COC1=C(O)C=CC(C[C@@]2(O)CO[C@@H]([C@H]2CO)C2=CC(OC)=C(O)C=C2)=C1,51809
[H][C@@]12O[C@]1(CO)[C@@]1([H])[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C[C@@]1([H])[C@@H]2O,52197
[H][C@]12C[C@@H](OC(C)=O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,52520
CN1C(=O)C2=C(C=C3OCOC3=C2)C2=C1C1=C(C=C2)C=C2OCOC2=C1,52897
COC(=O)\C=C\C1=CC(O)=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,52980
[H][C@@]12C(=O)OC3=C(C=CC(OC)=C3)[C@]1([H])[C@]1([H])C(=O)OC3=C(C=CC(OC)=C3)[C@]21[H],53171
OC[C@H]1O[C@@H](O[C@@H]2OC=C3C(=O)OCC=C3[C@H]2C=C)[C@H](O)[C@@H](O)[C@@H]1O,53772
CN1C(O)C2=C(C=CC3=C2OCO3)C2=C1C1=CC3=C(OCO3)C=C1C=C2,54288
OCCN1CCN(CCCN2C3=C(SC4=C2C=C(Cl)C=C4)C=CC=C3)CC1,54730
OC[C@H]1O[C@@H](OC2=CC(\C=C\C3=CC=C(O)C=C3)=CC(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,54837
CN1CCC2=CC3=C(OCO3)C=C2C(O)CC2=CC=C3OCOC3=C2C1,55166
NC1=C(N=CN1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)NCC1=CC=CC=C1,55202
OC[C@H]1O[C@@H](O[C@@H]2OC=C3C(=O)OCC[C@@]3(O)[C@H]2C=C)[C@H](O)[C@@H](O)[C@@H]1O,55278
COC(=O)C(=C1OC(=O)C(=C\1OC)C1=CC=CC=C1)\C1=C(OC)C=CC=C1,55629
O=C1N2CCC3=C(C=C4OCOC4=C3)C2=CC2=CC=C3OCOC3=C12,55775
COC1=CC2=C(C=C1OC)C(=O)CC1=C(CN(C)CC2)C(OC)=C(OC)C=C1,55837
[H][C@@]12CC3=CC(OC)=C(OC)C=C3[C@H](C3=CC(OC)=C(OC)C=C3)[C@@]1([H])C(=O)OC2=O,56310
[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=COC(=O)C=C3)[C@@]1(C)CC[C@H](O)C2,56390
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2SCC1=CC=CC=C1,56816
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN(CC1=CC=CC=C1)C2=O,56821
[H][C@]12CC(=O)N3C4=C(C=CC=C4)C4=C3[C@@]1([H])[C@@]1([H])CC(=O)N(CC1=CCO2)CC4,57255
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@](F)(COS(N)(=O)=O)[C@@H](O)[C@H]1O,57357
[H][C@]12[C@@H](O)CC3=C(C=C4OCOC4=C3)[C@@]1([H])N(C)CC1=C(OC)C(OC)=CC=C21,57555
[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H]([C@H](C[C@]34O)OC=O)C3=CC(=O)OC3)[C@@]1(C)CC[C@H](O)C2,57855
[H][C@]12O[C@]11[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]1(C)[C@H]([C@H]2O)C1=COC(=O)C=C1,58388
COC1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(OC)=C2OC(=O)C=CC2=C1,58590
[H][C@]12C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)[C@H](O)C[C@]5(C)C4=CC(=O)[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1(CC[C@@]([H])(C)CO1)O2,58615
[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H]([C@@H](O)C[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)OC=O,58692
O1C2=CC3=C(C=C2C(=C1C1=CC=CC=C1)C1=CC=CC=C1)C(=C(O3)C1=CC=CC=C1)C1=CC=CC=C1,58797
[H][C@@]12N3C4=C(C=CC=C4)[C@@]11CCN(C)CC4=CCO[C@@]([H])(CC3=O)[C@]2([H])[C@@]4([H])CC1=O,59544
CC1=C(O)C2=C(C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(=O)C1=C(C=CC=C1)C2=O,59723
OC[C@H]1O[C@@H](OC2=CC3=C(C=C2)C(=O)C(=CO3)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,59741
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO,60069
[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H]([C@H](C[C@]34O)OC(C)=O)C3=CC(=O)OC3)[C@@]1(C)CCC(=O)C2,60163
C[C@H]1CC2=C([C@H]([C@@H]1C)C1=C(Br)C=C3OCOC3=C1)C1=C(OCO1)C=C2Br,60377
[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H]([C@@H](O)C[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)OC(C)=O,61015
OC[C@H]1O[C@@H](OC2=CC=C(O)C=C2COC(=O)C2=CC=CC=C2)[C@H](O)[C@@H](O)[C@@H]1O,61468
[H][C@@]12C[C@@H](C3=COC=C3)[C@]3(C)CC[C@]4([H])[C@@]5(C)C=CC(=O)C(C)(C)C5=C(O)C(=O)[C@@]4(C)[C@@]13O2,61767
[H][C@@]12C[C@H](C)CN[C@@]1([H])[C@@H](C)[C@@]1(CC[C@]3([H])C(C(=O)[C@@]4([H])[C@@]3([H])CCC3=CC(=O)CC[C@]43C)=C1C)O2,61894
[H][C@]12O[C@]11[C@]3([H])CC[C@]4([H])CC(=O)CC[C@]4(C)[C@@]3([H])CC[C@]1(C)[C@H]([C@H]2OC(C)=O)C1=COC(=O)C=C1,62326
[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@H]([C@H](C[C@]34O)OC=O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)OC=O,62377
[H][C@@]12C[C@@]3([H])[C@]4([H])CC[C@@]5([H])C[C@@H](O)CC[C@]5(C)[C@@]4([H])CC[C@]3(C)[C@@]1([H])[C@H](C)[C@@]1([H])N(C[C@H](C)C[C@]1(OCC)O2)N=O,62540
