n,RMSE,MAE,R2,model,subset,fold
1794,36.8903760781177,21.36004193383936,0.901486544641247,xgboost,non_local,2
3683,34.755587318442956,20.148870321958256,0.8957923255048988,xgboost,full,3
801,53.36792212482383,28.295933883554248,0.5958736569088396,xgboost,lambda500,3
307,70.96107144461428,35.00075548461548,-0.027093410847607746,xgboost,lambda600,3
58,31.68186090311548,21.764784714271283,0.6951483129517069,xgboost,azo,3
1232,27.540579515621253,17.65247590322456,0.923593796913131,xgboost,da,3
449,28.580757538987548,18.849586335312846,0.9114966593696545,xgboost,dad,3
359,25.30327424531922,15.269465029405684,0.9179251049393481,xgboost,bodipy,3
14,26.79506424203229,24.498406546456472,0.6929941517585264,xgboost,cyanine,3
0,,,,xgboost,squaraine,3
291,31.619257042545623,21.66823140858435,0.888627167479753,xgboost,stilbene,3
1887,38.75787921375898,20.92416434081317,0.8947452436566599,xgboost,non_local,3
3683,35.76699087362116,20.66336570508613,0.8919302985106081,xgboost,full,4
776,56.19389838586094,30.057692337917803,0.531885019947367,xgboost,lambda500,4
326,73.5741902292107,38.8764887116169,-0.31846423423833614,xgboost,lambda600,4
50,38.888536936733615,25.01781311035156,0.6889346094944131,xgboost,azo,4
1196,27.485848589749377,17.626207541413763,0.9221370787504514,xgboost,da,4
453,30.17311422182818,19.20291136729615,0.8939735180395272,xgboost,dad,4
333,25.48165163758324,15.77096585253261,0.9179395054601946,xgboost,bodipy,4
13,36.40279439598495,30.73053917518029,0.5417455385785711,xgboost,cyanine,4
0,,,,xgboost,squaraine,4
325,35.88215996382098,23.29413328302524,0.8547221456047405,xgboost,stilbene,4
1813,40.96562343474879,22.06852665271024,0.8830201737463723,xgboost,non_local,4
3683,30.616826864588145,16.21748628288584,0.9188183133806826,chemprop,full,0
737,41.16461347353864,21.38387769516595,0.7592709262935087,chemprop,lambda500,0
312,54.73052833294744,27.478474502995414,0.31476464856544184,chemprop,lambda600,0
56,30.27450515044716,21.189483642578125,0.6747033326720655,chemprop,azo,0
1194,21.83655514074382,13.928963604433298,0.9529606642424541,chemprop,da,0
437,23.352677198958038,14.791782562261336,0.9345321491462575,chemprop,dad,0
330,20.98647656614429,13.534467754941998,0.9462495236415219,chemprop,bodipy,0
8,27.120622866119334,22.542442321777344,0.5286161659737681,chemprop,cyanine,0
0,,,,chemprop,squaraine,0
314,31.904816063584825,19.806888319834794,0.9037547782538515,chemprop,stilbene,0
1773,30.630881324915993,16.43481439696588,0.935138100780152,chemprop,non_local,0
3683,30.526717046777357,16.715383215185906,0.9164520650959049,chemprop,full,1
745,41.87169628937892,21.16837488117502,0.7167124113370225,chemprop,lambda500,1
312,56.74583632053093,29.45482691155098,0.1289501050313261,chemprop,lambda600,1
50,47.747485118337096,26.994102172851562,0.43698637422435804,chemprop,azo,1
1156,24.76097142402673,14.947713022779757,0.9308185341907369,chemprop,da,1
423,23.897093651574256,16.11453426600362,0.9348693336204126,chemprop,dad,1
353,19.818735568555976,13.012064110829057,0.9445373224550354,chemprop,bodipy,1
13,27.040251691366915,23.15814208984375,0.8071217459151437,chemprop,cyanine,1
0,,,,chemprop,squaraine,1
291,24.13468236876979,15.638838518856042,0.9337002754748754,chemprop,stilbene,1
1790,32.738980230582804,17.553631320883927,0.92283672580004,chemprop,non_local,1
3683,31.49349441542073,15.750115085261994,0.9123023599341182,chemprop,full,2
773,43.618403931125215,20.513346406880913,0.7134416689281502,chemprop,lambda500,2
298,63.17327858052447,28.951943822443237,0.08863812750137434,chemprop,lambda600,2
50,31.516580307867084,22.780162963867188,0.7056335173346588,chemprop,azo,2
1167,20.758112067092448,12.804204699043689,0.9515561349886268,chemprop,da,2
419,20.043698795768883,12.830137195343266,0.9514658277556042,chemprop,dad,2
339,18.842076148705512,11.360631135923672,0.9542390826258579,chemprop,bodipy,2
11,27.054977364487602,19.36714033647017,0.4668782183845055,chemprop,cyanine,2
0,,,,chemprop,squaraine,2
291,36.5461926448377,21.12705806915405,0.8579502624803901,chemprop,stilbene,2
1794,32.03853113324091,15.651127588488645,0.9256955916343698,chemprop,non_local,2
3683,33.90159523093981,17.86848765608502,0.9008504587414611,chemprop,full,3
801,48.457331362697566,24.74262025274437,0.6668225812577836,chemprop,lambda500,3
307,64.48848813214575,28.77770357063187,0.15173020037127793,chemprop,lambda600,3
58,30.11383859959041,19.49621687264278,0.7245774634123581,chemprop,azo,3
1232,22.699287823507856,14.790301465024953,0.9480952704193115,chemprop,da,3
449,25.675765908701685,16.062278720642226,0.9285735595675074,chemprop,dad,3
359,23.15320846097789,16.082221921107895,0.9312806164498855,chemprop,bodipy,3
14,34.02449120875606,25.071949550083705,0.5049827620848417,chemprop,cyanine,3
0,,,,chemprop,squaraine,3
291,34.46953262996152,20.89996795721515,0.8676430555351278,chemprop,stilbene,3
1887,35.02007350490068,18.18059610933153,0.9140678204986192,chemprop,non_local,3
3683,39.21498177213342,23.980361992933062,0.8700898216408232,chemprop,full,4
